date,net_pnl,duration_seconds
2022-06-10,6329.06,234900.000
2022-06-16,-123.72,32400.000
2022-06-19,-256.95,7080.000
2022-06-23,-115.05,31980.000
2022-06-23,-32839.15,1144800.000
2022-06-24,399.86,28260.000
2022-06-26,-78.56,18180.000
2022-06-27,-72.61,8700.000
2022-06-27,-61.54,324000.000
2022-06-28,1047.69,67500.000
2022-06-28,-75.66,11280.000
2022-06-30,7529.55,167400.000
2022-07-01,5095.99,62100.000
2022-07-01,-220.73,8460.000
2022-07-02,5941.61,97200.000
2022-07-02,-54.25,1080.000
2022-07-03,1371.36,145800.000
2022-07-03,-80.08,3420.000
2022-07-04,230.99,16500.000
2022-07-05,-134.99,3180.000
2022-07-09,-73.81,10500.000
2022-07-09,-57.47,2700.000
2022-07-09,-75.22,7080.000
2022-07-10,-7928.15,585900.000
2022-07-13,-5413.46,237600.000
2022-07-13,-80.05,900.000
2022-07-14,-28.41,51300.000
2022-07-16,186.91,118800.000
2022-07-16,230.42,4440.000
2022-07-17,-6268.18,378000.000
2022-07-18,365.32,4620.000
2022-07-18,5420.65,45900.000
2022-07-22,-111.97,12480.000
2022-07-22,-27.45,40500.000
2022-07-23,-191.59,450900.000
2022-07-24,-82.85,22320.000
2022-07-27,-77.44,15960.000
2022-07-27,-3515.51,361800.000
2022-07-29,-9365.50,159300.000
2022-07-30,2905.73,91800.000
2022-08-01,3974.25,118800.000
2022-08-02,-482.92,151200.000
2022-08-02,-109.28,4920.000
2022-08-03,-72.99,47880.000
2022-08-04,1466.67,108000.000
2022-08-05,-75.85,29760.000
2022-08-06,-2.47,48600.000
2022-08-07,-39.61,1980.000
2022-08-08,4048.24,375300.000
2022-08-09,2128.17,102600.000
2022-08-10,-107.55,2640.000
2022-08-10,2645.29,91800.000
2022-08-12,514.74,167400.000
2022-08-12,-69.48,3300.000
2022-08-14,4271.81,156600.000
2022-08-15,-76.71,4020.000
2022-08-16,2852.19,143100.000
2022-08-17,-199.79,113400.000
2022-08-17,-55.13,8100.000
2022-08-19,5508.25,153900.000
2022-08-22,38.63,67500.000
2022-08-23,-72.10,8340.000
2022-08-24,-55.69,59400.000
2022-08-24,-4764.98,486000.000
2022-08-25,-34.64,40500.000
2022-08-26,1576.43,135000.000
2022-08-29,-6114.14,288900.000
2022-08-30,-45.75,86400.000
2022-08-30,1624.75,91800.000
2022-08-31,-94.94,9900.000
2022-09-02,-76.10,8340.000
2022-09-02,2417.85,251100.000
2022-09-02,1465.84,16200.000
2022-09-05,-18.60,37800.000
2022-09-05,-46.37,840.000
2022-09-06,-58.09,3480.000
2022-09-06,-1446.89,286200.000
2022-09-06,4309.70,62100.000
2022-09-07,432.84,89100.000
2022-09-08,-92.94,16800.000
2022-09-13,-18171.90,456300.000
2022-09-17,-78.93,13920.000
2022-09-17,-9490.03,399600.000
2022-09-18,689.33,64800.000
2022-09-20,-127.83,22680.000
2022-09-21,-3029.34,264600.000
2022-09-21,-75.67,9300.000
2022-09-22,-107.45,11580.000
2022-09-23,867.86,162000.000
2022-09-24,-112.34,2640.000
2022-09-25,-46.63,4740.000
2022-09-26,-93.76,2640.000
2022-09-26,133.72,256500.000
2022-09-27,229.35,118800.000
2022-09-28,-118.00,4740.000
2022-09-30,-120.03,55800.000
2022-09-30,3939.04,248400.000
2022-10-01,2980.75,105300.000
2022-10-03,-51.76,6000.000
2022-10-03,461.50,153900.000
2022-10-05,-2504.74,167400.000
2022-10-05,-88.65,10740.000
2022-10-09,-1860.74,337500.000
2022-10-09,-35.87,20580.000
2022-10-10,-39.98,7620.000
2022-10-10,815.15,78300.000
2022-10-12,-41.76,12600.000
2022-10-14,53.88,67500.000
2022-10-16,-146.29,561600.000
2022-10-16,-39.23,5580.000
2022-10-18,-562.21,153900.000
2022-10-20,-501.48,170100.000
2022-10-20,-46.91,7620.000
2022-10-21,1532.93,78300.000
2022-10-22,1290.51,89100.000
2022-10-22,11.44,94500.000
2022-10-23,284.89,83700.000
2022-10-23,80.91,2160.000
2022-10-23,1639.37,21600.000
2022-10-25,150.64,5580.000
2022-10-27,-4220.17,353700.000
2022-10-28,611.00,64800.000
2022-10-29,54.69,110700.000
2022-10-31,-58.60,6480.000
2022-11-01,-46.58,9900.000
2022-11-02,-35.41,6300.000
2022-11-02,1416.50,450900.000
2022-11-04,123.37,5940.000
2022-11-04,1808.00,124200.000
2022-11-07,-1590.94,234900.000
2022-11-10,-15461.68,313200.000
2022-11-11,-263.52,37740.000
2022-11-11,2885.70,91800.000
2022-11-14,-160.63,14760.000
2022-11-15,469.95,342900.000
2022-11-15,84.24,64800.000
2022-11-16,2576.61,81000.000
2022-11-18,2218.67,124200.000
2022-11-18,1.79,51300.000
2022-11-19,-31.57,1080.000
2022-11-20,1762.44,213300.000
2022-11-22,-2504.05,180900.000
2022-11-23,170.03,91800.000
2022-11-25,-1673.05,229500.000
2022-11-26,1276.84,70200.000
2022-11-26,28.89,54000.000
2022-11-27,-20.14,37800.000
2022-11-28,900.08,167400.000
2022-11-29,1.03,105300.000
2022-11-29,-11.84,40500.000
2022-11-30,-2180.94,132300.000
2022-11-30,853.38,5400.000
2022-12-01,490.48,75600.000
2022-12-02,-82.41,60.000
2022-12-03,-42.01,32880.000
2022-12-04,-37.26,1680.000
2022-12-04,343.23,218700.000
2022-12-05,112.41,34680.000
2022-12-05,-264.00,124200.000
2022-12-07,135.34,116100.000
2022-12-07,-43.51,2700.000
2022-12-07,1538.16,29700.000
2022-12-08,780.34,116100.000
2022-12-08,140.73,10260.000
2022-12-09,-1181.78,78300.000
2022-12-10,-23.14,6660.000
2022-12-10,106.90,91800.000
2022-12-10,-21.93,38460.000
2022-12-11,-21.58,18180.000
2022-12-11,50.07,3780.000
2022-12-11,259.73,105300.000
2022-12-12,173.51,89100.000
2022-12-13,99.31,46680.000
2022-12-15,-1401.68,234900.000
2022-12-16,228.23,59400.000
2022-12-16,2285.46,10800.000
2022-12-18,-1578.76,135000.000
2022-12-19,-26.92,11220.000
2022-12-19,-34.09,7200.000
2022-12-20,1590.91,170100.000
2022-12-21,21.76,78300.000
2022-12-22,-28.16,8460.000
2022-12-23,-34.78,40500.000
2022-12-24,-14.14,37800.000
2022-12-26,-6.75,48600.000
2022-12-27,61.67,2700.000
2022-12-27,2414.73,607500.000
2022-12-27,326.20,54000.000
2022-12-29,-32.22,19320.000
2022-12-31,-18.87,24300.000
2022-12-31,1.44,45900.000
2023-01-02,-18.95,31080.000
2023-01-02,-477.42,494100.000
2023-01-03,129.69,56700.000
2023-01-04,91.99,3660.000
2023-01-04,741.16,102600.000
2023-01-05,-22.98,8100.000
2023-01-05,-29.36,1080.000
2023-01-06,444.61,205200.000
2023-01-06,748.54,24300.000
2023-01-07,29.58,56700.000
2023-01-11,-2617.02,415800.000
2023-01-12,4730.57,35100.000
2023-01-17,13.52,35100.000
2023-01-18,-14649.23,572400.000
2023-01-19,63.37,99900.000
2023-01-19,-60.41,8340.000
2023-01-22,-6045.59,261900.000
2023-01-23,-57.21,9360.000
2023-01-24,-59.29,8640.000
2023-01-25,1394.46,256500.000
2023-01-25,267.00,3300.000
2023-01-27,538.03,108000.000
2023-01-27,-62.23,300.000
2023-01-29,120.10,1980.000
2023-01-29,1208.69,170100.000
2023-01-30,-647.66,116100.000
2023-01-31,-506.03,105300.000
2023-01-31,-53.54,17220.000
2023-02-01,-32.70,10800.000
2023-02-02,88.53,67500.000
2023-02-04,-13.17,21600.000
2023-02-05,-82.84,429300.000
2023-02-06,-666.22,94500.000
2023-02-06,-61.91,6720.000
2023-02-07,-38.97,10860.000
2023-02-08,-345.16,162000.000
2023-02-12,-4493.54,294300.000
2023-02-12,-34.19,19320.000
2023-02-13,1001.92,126900.000
2023-02-14,-43.37,35100.000
2023-02-14,1505.44,102600.000
2023-02-17,-6782.58,205200.000
2023-02-17,869.24,56700.000
2023-02-18,73.02,62100.000
2023-02-20,-85.26,22140.000
2023-02-22,-527.92,383400.000
2023-02-23,-83.17,13080.000
2023-02-26,-48.41,7980.000
2023-02-26,-2305.94,407700.000
2023-02-28,-44.50,18900.000
2023-02-28,-56.52,12840.000
2023-03-01,-76.19,35460.000
2023-03-01,-185.27,264600.000
2023-03-02,-68.00,5940.000
2023-03-05,-50.96,1020.000
2023-03-05,-3990.16,278100.000
