date,total_equity,capital
2022-08-09,10081.68,10000.00
2022-08-10,10088.23,10000.00
2022-08-11,10087.38,10000.00
2022-08-12,10087.52,10000.00
2022-08-13,10085.32,10000.00
2022-08-14,10085.92,10000.00
2022-08-15,10087.17,10000.00
2022-08-16,10085.37,10000.00
2022-08-17,10084.10,10000.00
2022-08-18,10085.46,10000.00
2022-08-19,10086.08,10000.00
2022-08-20,10085.04,10000.00
2022-08-21,10086.03,10000.00
2022-08-22,10085.65,10000.00
2022-08-23,10087.78,10000.00
2022-08-24,10086.97,10000.00
2022-08-25,10090.67,10000.00
2022-08-26,10090.73,10000.00
2022-08-27,10090.86,10000.00
2022-08-28,10089.43,10000.00
2022-08-29,10085.98,10000.00
2022-08-30,10085.61,10000.00
2022-08-31,10085.96,10000.00
2022-09-01,10085.71,10000.00
2022-09-02,10085.56,10000.00
2022-09-03,10083.94,10000.00
2022-09-04,10085.74,10000.00
2022-09-05,10084.08,10000.00
2022-09-06,10084.59,10000.00
2022-09-07,10082.78,10000.00
2022-09-08,10080.54,10000.00
2022-09-09,10080.78,10000.00
2022-09-10,10081.43,10000.00
2022-09-11,10083.61,10000.00
2022-09-12,10084.25,10000.00
2022-09-13,10083.95,10000.00
2022-09-14,10084.73,10000.00
2022-09-15,10087.12,10000.00
2022-09-16,10086.59,10000.00
2022-09-17,10085.71,10000.00
2022-09-18,10084.80,10000.00
2022-09-19,10086.93,10000.00
2022-09-20,10088.32,10000.00
2022-09-21,10089.58,10000.00
2022-09-22,10089.79,10000.00
2022-09-23,10089.99,10000.00
2022-09-24,10090.15,10000.00
2022-09-25,10089.96,10000.00
2022-09-26,10090.88,10000.00
2022-09-27,10089.71,10000.00
2022-09-28,10091.76,10000.00
2022-09-29,10092.39,10000.00
2022-09-30,10092.46,10000.00
2022-10-01,10092.20,10000.00
2022-10-02,10090.03,10000.00
2022-10-03,10087.42,10000.00
2022-10-04,10087.26,10000.00
2022-10-05,10087.36,10000.00
2022-10-06,10088.70,10000.00
2022-10-07,10088.67,10000.00
2022-10-08,10089.42,10000.00
2022-10-09,10088.85,10000.00
2022-10-10,10088.76,10000.00
2022-10-11,10087.28,10000.00
2022-10-12,10086.90,10000.00
2022-10-13,10089.14,10000.00
2022-10-14,10089.85,10000.00
2022-10-15,10089.48,10000.00
2022-10-16,10092.68,10000.00
2022-10-17,10093.70,10000.00
2022-10-18,10094.24,10000.00
2022-10-19,10093.96,10000.00
2022-10-20,10095.03,10000.00
2022-10-21,10094.98,10000.00
2022-10-22,10095.60,10000.00
2022-10-23,10093.97,10000.00
2022-10-24,10094.01,10000.00
2022-10-25,10093.29,10000.00
2022-10-26,10094.84,10000.00
2022-10-27,10093.35,10000.00
2022-10-28,10093.70,10000.00
2022-10-29,10094.66,10000.00
2022-10-30,10096.55,10000.00
2022-10-31,10099.33,10000.00
2022-11-01,10098.98,10000.00
2022-11-02,10096.91,10000.00
2022-11-03,10096.11,10000.00
2022-11-04,10095.97,10000.00
2022-11-05,10095.32,10000.00
2022-11-06,10094.43,10000.00
2022-11-07,10096.03,10000.00
2022-11-08,10102.20,10000.00
2022-11-09,10102.51,10000.00
2022-11-10,10103.08,10000.00
2022-11-11,10103.27,10000.00
2022-11-12,10106.93,10000.00
2022-11-13,10115.38,10000.00
2022-11-14,10114.51,10000.00
2022-11-15,10117.04,10000.00
2022-11-16,10113.97,10000.00
2022-11-17,10117.71,10000.00
2022-11-18,10117.23,10000.00
2022-11-19,10116.41,10000.00
2022-11-20,10117.07,10000.00
2022-11-21,10118.92,10000.00
2022-11-22,10120.88,10000.00
2022-11-23,10124.99,10000.00
2022-11-24,10125.47,10000.00
2022-11-25,10124.25,10000.00
2022-11-26,10124.54,10000.00
2022-11-27,10119.59,10000.00
2022-11-28,10118.64,10000.00
2022-11-29,10122.43,10000.00
2022-11-30,10122.29,10000.00
2022-12-01,10124.02,10000.00
2022-12-02,10122.97,10000.00
2022-12-03,10123.81,10000.00
2022-12-04,10122.42,10000.00
2022-12-05,10122.57,10000.00
2022-12-06,10125.21,10000.00
2022-12-07,10123.55,10000.00
2022-12-08,10126.41,10000.00
2022-12-09,10126.47,10000.00
2022-12-10,10127.81,10000.00
2022-12-11,10123.90,10000.00
2022-12-12,10123.16,10000.00
2022-12-13,10127.77,10000.00
2022-12-14,10126.55,10000.00
2022-12-15,10128.04,10000.00
2022-12-16,10127.97,10000.00
2022-12-17,10131.11,10000.00
2022-12-18,10132.68,10000.00
2022-12-19,10132.74,10000.00
2022-12-20,10126.93,10000.00
2022-12-21,10124.25,10000.00
2022-12-22,10124.34,10000.00
2022-12-23,10123.89,10000.00
2022-12-24,10121.77,10000.00
2022-12-25,10121.41,10000.00
2022-12-26,10125.30,10000.00
2022-12-27,10126.11,10000.00
2022-12-28,10122.39,10000.00
2022-12-29,10120.90,10000.00
2022-12-30,10121.86,10000.00
2022-12-31,10120.28,10000.00
2023-01-01,10119.38,10000.00
2023-01-02,10120.21,10000.00
2023-01-03,10121.22,10000.00
2023-01-04,10123.58,10000.00
2023-01-05,10124.86,10000.00
2023-01-06,10124.85,10000.00
2023-01-07,10125.09,10000.00
2023-01-08,10128.83,10000.00
2023-01-09,10123.48,10000.00
2023-01-10,10121.63,10000.00
2023-01-11,10119.18,10000.00
2023-01-12,10121.28,10000.00
2023-01-13,10121.22,10000.00
2023-01-14,10121.18,10000.00
2023-01-15,10121.11,10000.00
2023-01-16,10123.19,10000.00
2023-01-17,10127.14,10000.00
2023-01-18,10126.60,10000.00
2023-01-19,10130.76,10000.00
2023-01-20,10131.10,10000.00
2023-01-21,10127.58,10000.00
2023-01-22,10128.95,10000.00
2023-01-23,10132.74,10000.00
2023-01-24,10130.25,10000.00
2023-01-25,10130.46,10000.00
2023-01-26,10131.29,10000.00
2023-01-27,10131.40,10000.00
2023-01-28,10129.12,10000.00
2023-01-29,10128.67,10000.00
2023-01-30,10127.99,10000.00
2023-01-31,10130.40,10000.00
2023-02-01,10131.36,10000.00
2023-02-02,10128.93,10000.00
2023-02-03,10127.19,10000.00
2023-02-04,10124.33,10000.00
2023-02-05,10128.06,10000.00
2023-02-06,10124.47,10000.00
2023-02-07,10123.26,10000.00
2023-02-08,10123.23,10000.00
2023-02-09,10122.96,10000.00
2023-02-10,10123.03,10000.00
2023-02-11,10123.10,10000.00
2023-02-12,10124.06,10000.00
2023-02-13,10122.29,10000.00
2023-02-14,10124.39,10000.00
2023-02-15,10123.28,10000.00
2023-02-16,10124.07,10000.00
2023-02-17,10124.17,10000.00
2023-02-18,10122.66,10000.00
2023-02-19,10122.41,10000.00
2023-02-20,10122.21,10000.00
2023-02-21,10123.19,10000.00
2023-02-22,10124.99,10000.00
2023-02-23,10122.76,10000.00
2023-02-24,10123.11,10000.00
2023-02-25,10122.87,10000.00
2023-02-26,10118.38,10000.00
2023-02-27,10115.21,10000.00
2023-02-28,10110.97,10000.00
2023-03-01,10111.35,10000.00
2023-03-02,10110.93,10000.00
2023-03-03,10112.61,10000.00
2023-03-04,10120.92,10000.00
2023-03-05,10112.73,10000.00
2023-03-06,10113.75,10000.00
2023-03-07,10117.26,10000.00
2023-03-08,10116.48,10000.00
2023-03-09,10113.35,10000.00
2023-03-10,10112.79,10000.00
2023-03-11,10107.45,10000.00
2023-03-12,10105.40,10000.00
2023-03-13,10109.58,10000.00
2023-03-14,10110.26,10000.00
2023-03-15,10107.66,10000.00
2023-03-16,10110.64,10000.00
2023-03-17,10110.96,10000.00
2023-03-18,10109.13,10000.00
2023-03-19,10110.58,10000.00
2023-03-20,10109.28,10000.00
2023-03-21,10113.51,10000.00
2023-03-22,10110.81,10000.00
2023-03-23,10110.66,10000.00
2023-03-24,10110.40,10000.00
2023-03-25,10112.62,10000.00
2023-03-26,10114.02,10000.00
2023-03-27,10113.97,10000.00
2023-03-28,10113.55,10000.00
2023-03-29,10113.82,10000.00
2023-03-30,10110.98,10000.00
2023-03-31,10109.19,10000.00
2023-04-01,10109.04,10000.00
2023-04-02,10109.09,10000.00
2023-04-03,10111.76,10000.00
2023-04-04,10109.12,10000.00
2023-04-05,10109.85,10000.00
2023-04-06,10110.42,10000.00
2023-04-07,10110.11,10000.00
2023-04-08,10104.94,10000.00
2023-04-09,10105.72,10000.00
2023-04-10,10103.03,10000.00
2023-04-11,10109.26,10000.00
2023-04-12,10106.20,10000.00
2023-04-13,10110.07,10000.00
2023-04-14,10111.94,10000.00
2023-04-15,10110.32,10000.00
2023-04-16,10111.27,10000.00
2023-04-17,10110.21,10000.00
2023-04-18,10110.58,10000.00
2023-04-19,10111.57,10000.00
2023-04-20,10111.06,10000.00
2023-04-21,10111.67,10000.00
2023-04-22,10111.81,10000.00
2023-04-23,10114.12,10000.00
2023-04-24,10120.24,10000.00
2023-04-25,10120.29,10000.00
2023-04-26,10120.50,10000.00
2023-04-27,10121.23,10000.00
2023-04-28,10121.25,10000.00
2023-04-29,10120.32,10000.00
2023-04-30,10121.57,10000.00
2023-05-01,10120.84,10000.00
2023-05-02,10120.74,10000.00
2023-05-03,10123.13,10000.00
2023-05-04,10123.49,10000.00
2023-05-05,10122.42,10000.00
2023-05-06,10120.85,10000.00
2023-05-07,10121.35,10000.00
2023-05-08,10123.49,10000.00
2023-05-09,10123.68,10000.00
2023-05-10,10129.77,10000.00
2023-05-11,10129.58,10000.00
2023-05-12,10131.27,10000.00
2023-05-13,10130.69,10000.00
2023-05-14,10129.38,10000.00
2023-05-15,10130.62,10000.00
2023-05-16,10130.10,10000.00
2023-05-17,10130.32,10000.00
2023-05-18,10130.03,10000.00
2023-05-19,10129.70,10000.00
2023-05-20,10133.14,10000.00
2023-05-21,10132.15,10000.00
2023-05-22,10133.45,10000.00
2023-05-23,10136.27,10000.00
2023-05-24,10138.22,10000.00
2023-05-25,10133.79,10000.00
2023-05-26,10134.36,10000.00
2023-05-27,10135.55,10000.00
2023-05-28,10135.99,10000.00
2023-05-29,10135.50,10000.00
2023-05-30,10134.39,10000.00
2023-05-31,10132.21,10000.00
2023-06-01,10130.70,10000.00
2023-06-02,10131.24,10000.00
2023-06-03,10132.20,10000.00
2023-06-04,10132.37,10000.00
2023-06-05,10131.93,10000.00
2023-06-06,10131.31,10000.00
2023-06-07,10128.08,10000.00
2023-06-08,10130.91,10000.00
2023-06-09,10132.15,10000.00
2023-06-10,10132.29,10000.00
2023-06-11,10136.80,10000.00
2023-06-12,10136.84,10000.00
2023-06-13,10135.20,10000.00
2023-06-14,10132.18,10000.00
2023-06-15,10132.64,10000.00
2023-06-16,10132.02,10000.00
2023-06-17,10132.14,10000.00
2023-06-18,10133.32,10000.00
2023-06-19,10131.14,10000.00
2023-06-20,10131.52,10000.00
2023-06-21,10131.24,10000.00
2023-06-22,10129.84,10000.00
2023-06-23,10128.87,10000.00
2023-06-24,10127.46,10000.00
2023-06-25,10131.91,10000.00
2023-06-26,10132.67,10000.00
2023-06-27,10133.95,10000.00
2023-06-28,10133.53,10000.00
2023-06-29,10133.64,10000.00
2023-06-30,10133.89,10000.00
2023-07-01,10134.92,10000.00
2023-07-02,10133.72,10000.00
2023-07-03,10132.29,10000.00
2023-07-04,10135.49,10000.00
2023-07-05,10136.18,10000.00
2023-07-06,10134.58,10000.00
2023-07-07,10134.80,10000.00
2023-07-08,10135.76,10000.00
2023-07-09,10134.84,10000.00
2023-07-10,10135.54,10000.00
2023-07-11,10137.88,10000.00
2023-07-12,10142.64,10000.00
2023-07-13,10144.15,10000.00
2023-07-14,10144.05,10000.00
2023-07-15,10145.66,10000.00
2023-07-16,10146.37,10000.00
2023-07-17,10144.28,10000.00
2023-07-18,10145.25,10000.00
2023-07-19,10145.82,10000.00
2023-07-20,10144.52,10000.00
2023-07-21,10144.45,10000.00
2023-07-22,10143.74,10000.00
2023-07-23,10144.00,10000.00
2023-07-24,10146.51,10000.00
2023-07-25,10145.30,10000.00
2023-07-26,10144.89,10000.00
2023-07-27,10144.11,10000.00
